Season,League,Team,Player,Nation,Pos,Age,90s,SCA,SCA90,PassLive,PassDead,TO,Sh,Fld,Def,GCA,GCA90,PassLive.1,PassDead.1,TO.1,Sh.1,Fld.1,Def.1
2017-2018,EPL,Newcastle Utd,Karl Darlow,eng ENG,GK,26,10,3,0.3,2,1,0,0,0,0,0,0,0,0,0,0,0,0
2017-2018,EPL,Newcastle Utd,Chancel Mbemba,cd COD,DF,22,7.5,12,1.61,7,3,2,0,0,0,0,0,0,0,0,0,0,0
2017-2018,EPL,Newcastle Utd,Rolando Aarons,eng ENG,"MF,FW",21,1.5,1,0.65,0,0,0,1,0,0,0,0,0,0,0,0,0,0
2017-2018,EPL,Newcastle Utd,Islam Slimani,dz ALG,FW,29,1.5,8,5.45,6,0,1,0,1,0,1,0.68,1,0,0,0,0,0
2017-2018,EPL,Newcastle Utd,Jesús Gámez,es ESP,DF,32,1.1,7,6.43,5,1,1,0,0,0,1,0.92,1,0,0,0,0,0
2017-2018,EPL,Newcastle Utd,Henri Saivet,sn SEN,MF,26,0.9,1,1.08,1,0,0,0,0,0,0,0,0,0,0,0,0,0
2017-2018,EPL,Newcastle Utd,Aleksandar Mitrović,rs SRB,FW,22,1.1,5,4.79,4,0,1,0,0,0,1,0.96,0,0,1,0,0,0
2017-2018,EPL,Newcastle Utd,Massadio Haïdara,ml MLI,FW,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2017-2018,EPL,Crystal Palace,Andros Townsend,eng ENG,"FW,MF",26,34.7,138,3.98,80,20,16,7,10,5,11,0.32,8,1,0,0,2,0
2017-2018,EPL,Crystal Palace,Luka Milivojević,rs SRB,MF,26,34.2,58,1.69,41,8,0,3,3,3,5,0.15,4,0,0,1,0,0
2017-2018,EPL,Crystal Palace,Wilfried Zaha,ci CIV,"FW,MF",24,28.3,139,4.91,79,0,35,6,17,2,14,0.49,9,0,3,0,2,0
2017-2018,EPL,Crystal Palace,Yohan Cabaye,fr FRA,MF,31,26.4,84,3.18,37,34,2,3,5,3,6,0.23,3,1,0,1,1,0
2017-2018,EPL,Crystal Palace,James McArthur,sct SCO,MF,29,27,53,1.96,47,0,1,4,1,0,2,0.07,1,0,0,1,0,0
2017-2018,EPL,Crystal Palace,Wayne Hennessey,wls WAL,GK,30,27,5,0.19,4,1,0,0,0,0,1,0.04,1,0,0,0,0,0
2017-2018,EPL,Crystal Palace,James Tomkins,eng ENG,DF,28,26.5,7,0.26,4,0,0,3,0,0,1,0.04,0,0,0,1,0,0
2017-2018,EPL,Crystal Palace,Patrick van Aanholt,nl NED,DF,26,24.3,46,1.9,24,12,6,2,1,1,4,0.16,2,0,2,0,0,0
2017-2018,EPL,Crystal Palace,Christian Benteke,be BEL,FW,26,24.9,68,2.73,43,0,5,12,8,0,13,0.52,8,0,1,1,3,0
2017-2018,EPL,Crystal Palace,Ruben Loftus-Cheek,eng ENG,MF,21,20.8,73,3.51,48,0,12,3,8,2,8,0.38,5,0,1,1,1,0
2017-2018,EPL,Crystal Palace,Jeffrey Schlupp,gh GHA,"DF,MF",24,19.4,35,1.81,25,4,4,1,1,0,4,0.21,2,1,0,1,0,0
2017-2018,EPL,Crystal Palace,Joel Ward,eng ENG,DF,27,17.9,21,1.17,15,1,1,1,3,0,1,0.06,1,0,0,0,0,0
2017-2018,EPL,Crystal Palace,Mamadou Sakho,fr FRA,DF,27,17.8,5,0.28,5,0,0,0,0,0,3,0.17,3,0,0,0,0,0
2017-2018,EPL,Crystal Palace,Timothy Fosu-Mensah,nl NED,DF,19,17.7,19,1.07,17,0,0,1,1,0,0,0,0,0,0,0,0,0
2017-2018,EPL,Crystal Palace,Scott Dann,eng ENG,DF,30,15.9,13,0.82,11,0,0,2,0,0,1,0.06,1,0,0,0,0,0
2017-2018,EPL,Crystal Palace,Martin Kelly,eng ENG,DF,27,13.3,4,0.3,3,0,0,1,0,0,0,0,0,0,0,0,0,0
2017-2018,EPL,Crystal Palace,Julián Speroni,ar ARG,GK,38,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2017-2018,EPL,Crystal Palace,Aaron Wan-Bissaka,eng ENG,DF,19,7,8,1.15,7,0,1,0,0,0,0,0,0,0,0,0,0,0
2017-2018,EPL,Crystal Palace,Jason Puncheon,eng ENG,MF,31,7.2,18,2.84,11,3,2,1,1,0,0,0,0,0,0,0,0,0
2017-2018,EPL,Crystal Palace,Bakary Sako,ml MLI,"FW,MF",29,5.3,18,3.39,11,0,2,4,1,0,3,0.56,1,0,0,2,0,0
2017-2018,EPL,Crystal Palace,Jaïro Riedewald,nl NED,"MF,DF",20,4.9,3,0.61,3,0,0,0,0,0,0,0,0,0,0,0,0,0
2017-2018,EPL,Crystal Palace,Alexander Sørloth,no NOR,FW,21,4,14,3.5,8,0,3,2,0,1,1,0.25,1,0,0,0,0,0
2017-2018,EPL,Crystal Palace,Lee Chung-yong,kr KOR,"FW,MF",29,1.5,5,3.33,5,0,0,0,0,0,0,0,0,0,0,0,0,0
2017-2018,EPL,Crystal Palace,Damien Delaney,ie IRL,DF,36,1.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2017-2018,EPL,Crystal Palace,Levi Lumeka,eng ENG,FW,18,0.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2017-2018,EPL,Crystal Palace,Freddie Ladapo,eng ENG,FW,24,0.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2017-2018,EPL,Crystal Palace,Sullay Kaikai,sl SLE,MF,21,0.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2017-2018,EPL,Crystal Palace,Pape Souaré,sn SEN,DF,27,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2017-2018,EPL,Bournemouth,Asmir Begović,ba BIH,GK,30,38,4,0.11,2,2,0,0,0,0,1,0.03,0,1,0,0,0,0
