Year,Player,Pos,Squad,Age,Born,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,Gls,Ast,G+A,G-PK,G+A-PK
2016,André Gomes,MF,pt Portugal,22,1993,5,4,291,3.2,0,1,1,0,0,0,0,0,0,0.31,0.31,0,0.31
2016,Mario Gómez,FW,de Germany,30,1985,4,3,271,3,2,0,2,2,0,0,0,0,0.66,0,0.66,0.66,0.66
2016,Gökhan Gönül,DF,tr Türkiye,31,1985,3,3,270,3,0,0,0,0,0,0,0,0,0,0,0,0,0
2016,Mario Götze,"FW,MF",de Germany,23,1992,4,3,232,2.6,0,0,0,0,0,0,0,0,0,0,0,0,0
2016,Andreas Granqvist,DF,se Sweden,30,1985,3,3,270,3,0,0,0,0,0,0,0,0,0,0,0,0,0
2016,Ján Greguš,MF,sk Slovakia,25,1991,1,0,45,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0
2016,Antoine Griezmann,"FW,MF",fr France,24,1991,7,6,554,6.2,6,2,8,5,1,1,0,0,0.97,0.32,1.3,0.81,1.14
2016,Drago? Grigore,DF,ro Romania,29,1986,3,3,270,3,0,0,0,0,0,0,1,0,0,0,0,0,0
2016,Kamil Grosicki,MF,pl Poland,27,1988,5,3,301,3.3,0,2,2,0,0,0,1,0,0,0.6,0.6,0,0.6
2016,Raphaël Guerreiro,DF,pt Portugal,22,1993,5,5,510,5.7,0,1,1,0,0,0,1,0,0,0.18,0.18,0,0.18
2016,John Guidetti,FW,se Sweden,23,1992,3,1,144,1.6,0,0,0,0,0,0,0,0,0,0,0,0,0
2016,Aron Gunnarsson,MF,is Iceland,26,1989,5,5,424,4.7,0,0,0,0,0,0,1,0,0,0,0,0,0
2016,Chris Gunter,"MF,DF",wls Wales,26,1989,6,6,540,6,0,1,1,0,0,0,1,0,0,0.17,0.17,0,0.17
2016,Richárd Guzmics,DF,hu Hungary,28,1987,4,4,360,4,0,0,0,0,0,0,1,0,0,0,0,0,0
2016,Eiður Guðjohnsen,"FW,MF",is Iceland,37,1978,2,0,15,0.2,0,0,0,0,0,0,0,0,0,0,0,0,0
2016,Norbert Gyömbér,DF,sk Slovakia,23,1992,2,1,107,1.2,0,0,0,0,0,0,0,0,0,0,0,0,0
2016,Emil Hallfreðsson,"FW,MF",is Iceland,31,1984,1,0,26,0.3,0,0,0,0,0,0,0,0,0,0,0,0,0
2016,Marek Hamšík,MF,sk Slovakia,28,1987,4,4,360,4,1,1,2,1,0,0,0,0,0.25,0.25,0.5,0.25,0.5
2016,Denys Harmash,"FW,MF",ua Ukraine,25,1990,1,0,15,0.2,0,0,0,0,0,0,0,0,0,0,0,0,0
2016,Martin Harnik,MF,at Austria,28,1987,2,2,167,1.9,0,0,0,0,0,0,1,0,0,0,0,0,0
2016,Joe Hart,GK,eng England,28,1987,4,4,360,4,0,0,0,0,0,0,0,0,0,0,0,0,0
2016,Eden Hazard,"MF,FW",be Belgium,25,1991,5,5,439,4.9,1,4,5,1,0,0,0,0,0.21,0.82,1.03,0.21,1.03
2016,Jonas Hector,DF,de Germany,25,1990,6,6,570,6.3,0,1,1,0,0,0,0,0,0,0.16,0.16,0,0.16
2016,Jordan Henderson,MF,eng England,25,1990,1,1,90,1,0,0,0,0,0,0,0,0,0,0,0,0,0
2016,Jeff Hendrick,MF,ie Rep. of Ireland,24,1992,4,4,360,4,0,0,0,0,0,0,2,0,0,0,0,0,0
2016,Wayne Hennessey,GK,wls Wales,29,1987,5,5,450,5,0,0,0,0,0,0,0,0,0,0,0,0,0
2016,Martin Hinteregger,DF,at Austria,23,1992,3,3,270,3,0,0,0,0,0,0,1,0,0,0,0,0,0
2016,Lukas Hinterseer,"FW,MF",at Austria,24,1991,1,0,6,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0
2016,Ovidiu Hoban,MF,ro Romania,33,1982,3,2,225,2.5,0,0,0,0,0,0,0,0,0,0,0,0,0
2016,Wes Hoolahan,MF,ie Rep. of Ireland,33,1982,4,2,180,2,1,1,2,1,0,0,0,0,0.5,0.5,1,0.5,1
2016,Benedikt Höwedes,DF,de Germany,27,1988,6,4,424,4.7,0,0,0,0,0,0,0,0,0,0,0,0,0
2016,Patrik Hrošovský,MF,sk Slovakia,23,1992,2,2,148,1.6,0,0,0,0,0,0,1,0,0,0,0,0,0
2016,Roman Hubník,DF,cz Czechia,31,1984,3,3,270,3,0,0,0,0,0,0,0,0,0,0,0,0,0
2016,Tomáš Hubo?an,DF,sk Slovakia,30,1985,2,2,180,2,0,0,0,0,0,0,0,0,0,0,0,0,0
2016,Aaron Hughes,DF,nir Northern Ireland,36,1979,3,3,270,3,0,0,0,0,0,0,0,0,0,0,0,0,0
2016,Mats Hummels,DF,de Germany,27,1988,4,4,390,4.3,0,1,1,0,0,0,2,0,0,0.23,0.23,0,0.23
2016,Elseid Hysaj,DF,al Albania,21,1994,3,3,270,3,0,0,0,0,0,0,1,0,0,0,0,0,0
2016,Zlatan Ibrahimovi?,FW,se Sweden,34,1981,3,3,270,3,0,0,0,0,0,0,0,0,0,0,0,0,0
2016,Sergei Ignashevich,DF,ru Russia,36,1979,3,3,270,3,0,0,0,0,0,0,0,0,0,0,0,0,0
2016,Stefan Ilsanker,MF,at Austria,26,1989,2,2,131,1.5,0,0,0,0,0,0,0,0,0,0,0,0,0
2016,Ciro Immobile,FW,it Italy,25,1990,2,1,89,1,0,0,0,0,0,0,0,0,0,0,0,0,0
2016,Selçuk ?nan,MF,tr Türkiye,30,1985,3,3,249,2.8,0,0,0,0,0,0,0,0,0,0,0,0,0
2016,Sverrir Ingi Ingason,DF,is Iceland,22,1993,2,0,50,0.6,0,0,0,0,0,0,0,0,0,0,0,0,0
2016,Arnór Ingvi Traustason,"FW,MF",is Iceland,22,1993,2,0,13,0.1,1,0,1,1,0,0,0,0,6.92,0,6.92,6.92,6.92
