Season,League,Team,Player,Nation,Pos,Age,90s,Cmp,Att,Cmp%,TotDist,PrgDist,SP_Cmp,SP_Att,SP_Cmp%,MP_Cmp,MP_Att,MP_Cmp%,LP_Cmp,LP_Att,LP_Cmp%
2017-2018,EPL,Manchester Utd,Jesse Lingard,eng ENG,"MF,FW",24,20.2,841,996,84.4,10354,2219,493,546,90.3,198,234,84.6,33,61,54.1
2017-2018,EPL,Manchester Utd,Anthony Martial,fr FRA,FW,21,17.6,613,789,77.7,7580,1899,374,431,86.8,155,193,80.3,18,43,41.9
2017-2018,EPL,Manchester Utd,Marcus Rashford,eng ENG,"FW,MF",19,20.1,470,674,69.7,6278,1425,281,324,86.7,114,157,72.6,22,81,27.2
2017-2018,EPL,Manchester Utd,Victor Lindelöf,se SWE,DF,23,14.3,707,780,90.6,11923,4239,310,328,94.5,328,361,90.9,52,66,78.8
2017-2018,EPL,Manchester Utd,Ander Herrera,es ESP,MF,27,14.1,917,1064,86.2,13708,3978,471,513,91.8,307,342,89.8,66,118,55.9
2017-2018,EPL,Manchester Utd,Alexis Sánchez,cl CHI,"FW,MF",28,11.6,451,637,70.8,6515,2036,241,279,86.4,126,183,68.9,37,69,53.6
2017-2018,EPL,Manchester Utd,Eric Bailly,ci CIV,DF,23,11.1,368,428,86,6857,2226,126,139,90.6,197,211,93.4,35,57,61.4
2017-2018,EPL,Manchester Utd,Henrikh Mkhitaryan,am ARM,"MF,FW",28,10.2,453,589,76.9,6294,1637,242,276,87.7,140,175,80,26,62,41.9
2017-2018,EPL,Manchester Utd,Luke Shaw,eng ENG,DF,22,8.8,465,585,79.5,6012,2057,278,308,90.3,137,173,79.2,12,38,31.6
2017-2018,EPL,Manchester Utd,Marcos Rojo,ar ARG,DF,27,7.1,295,362,81.5,5448,2286,121,131,92.4,137,155,88.4,31,64,48.4
2017-2018,EPL,Manchester Utd,Scott McTominay,sct SCO,MF,20,7,302,347,87,4914,1409,140,152,92.1,122,129,94.6,23,36,63.9
2017-2018,EPL,Manchester Utd,Marouane Fellaini,be BEL,MF,29,7.6,336,398,84.4,4620,1237,185,212,87.3,101,120,84.2,17,27,63
2017-2018,EPL,Manchester Utd,Matteo Darmian,it ITA,DF,27,4.9,208,255,81.6,3066,995,107,117,91.5,68,82,82.9,15,28,53.6
2017-2018,EPL,Manchester Utd,Daley Blind,nl NED,"DF,MF",27,4,220,274,80.3,3520,1332,120,132,90.9,74,92,80.4,22,43,51.2
2017-2018,EPL,Manchester Utd,Michael Carrick,eng ENG,MF,36,1.2,84,99,84.8,1602,837,40,41,97.6,29,29,100,14,25,56
2017-2018,EPL,Manchester Utd,Zlatan Ibrahimović,se SWE,"MF,FW",35,1.2,59,78,75.6,829,217,37,48,77.1,14,20,70,4,6,66.7
2017-2018,EPL,Manchester Utd,Sergio Romero,ar ARG,GK,30,1,17,25,68,596,494,3,3,100,5,5,100,9,17,52.9
2017-2018,EPL,Manchester Utd,Axel Tuanzebe,eng ENG,FW,19,0,0,0,,0,0,0,0,,0,0,,0,0,
2017-2018,EPL,Tottenham,Christian Eriksen,dk DEN,"MF,FW",25,35.8,1919,2509,76.5,35000,9566,820,947,86.6,838,1042,80.4,226,398,56.8
2017-2018,EPL,Tottenham,Hugo Lloris,fr FRA,GK,30,36,916,1167,78.5,26371,18330,75,76,98.7,526,528,99.6,315,561,56.1
2017-2018,EPL,Tottenham,Jan Vertonghen,be BEL,DF,30,35.6,2181,2542,85.8,45152,16163,618,682,90.6,1263,1380,91.5,287,439,65.4
2017-2018,EPL,Tottenham,Harry Kane,eng ENG,FW,24,34.2,477,696,68.5,8715,2185,231,301,76.7,153,216,70.8,71,109,65.1
2017-2018,EPL,Tottenham,Dele Alli,eng ENG,"MF,FW",21,32.9,985,1295,76.1,15174,4014,541,647,83.6,342,414,82.6,63,109,57.8
2017-2018,EPL,Tottenham,Eric Dier,eng ENG,"MF,DF",23,31.4,1949,2285,85.3,38485,13081,670,747,89.7,1003,1107,90.6,251,358,70.1
2017-2018,EPL,Tottenham,Davinson Sánchez,co COL,DF,21,28.2,1677,1879,89.2,34818,13608,466,501,93,962,1016,94.7,241,335,71.9
2017-2018,EPL,Tottenham,Son Heung-min,kr KOR,FW,25,25.7,792,980,80.8,10977,2123,472,549,86,260,307,84.7,25,46,54.3
