Year,Country,Player,Pos,Age,Int Matches Played,Int Starts,Int Min,Int 90s,Int Goals,Int Assists,Int Goals + Assists ,Int Non Penalty Goals,Int Penalty Goals,Int Penaltes Attempted,Int Yellow Cards,Int Red Cards,Int Goals Per 90,Int Assists Per 90,Int Goals + Assits Per 90,Int Non Penalty Goals Per 90,Int Non Penalty Goals + Assits Per 90
2020,Albania ,Ramen Cepele,DF,17,0,0,,,,,,,,,,,,,,,
2020,Albania ,Enis Çokaj,MF,21,0,0,,,,,,,,,,,,,,,
2020,Albania ,Alban Hoxha,GK,32,0,0,,,,,,,,,,,,,,,
2020,Albania ,Marsel Ismajlgeci,DF,20,0,0,,,,,,,,,,,,,,,
2020,Albania ,Marco Molla,GK,18,0,0,,,,,,,,,,,,,,,
2020,Albania ,Gentian Selmani,GK,22,0,0,,,,,,,,,,,,,,,
2021,Albania ,Ardian Ismajli,"DF,MF",24,9,9,808,9,0,0,0,0,0,0,1,0,0,0,0,0,0
2021,Albania ,Berat Djimsiti,DF,27,8,8,695,7.7,0,0,0,0,0,0,1,0,0,0,0,0,0
2021,Albania ,Freddie Veseli,"DF,MF",28,8,7,655,7.3,0,0,0,0,0,0,1,0,0,0,0,0,0
2021,Albania ,Elseid Hysaj,"DF,MF",26,8,7,647,7.2,1,0,1,1,0,0,1,0,0.14,0,0.14,0.14,0.14
2021,Albania ,Etrit Berisha,GK,31,6,6,540,6,0,0,0,0,0,0,0,0,0,0,0,0,0
2021,Albania ,Amir Abrashi,"MF,FW",30,8,6,486,5.4,1,0,1,1,0,0,2,0,0.19,0,0.19,0.19,0.19
2021,Albania ,Bekim Balaj,FW,30,8,6,426,4.7,2,0,2,2,0,0,1,0,0.42,0,0.42,0.42,0.42
2021,Albania ,Keidi Bare,"MF,FW",23,6,5,479,5.3,1,1,2,1,0,0,2,0,0.19,0.19,0.38,0.19,0.38
2021,Albania ,Kastriot Dermaku,DF,29,5,5,450,5,1,0,1,1,0,0,2,0,0.2,0,0.2,0.2,0.2
2021,Albania ,Rey Manaj,FW,23,5,5,450,5,2,1,3,2,0,0,0,0,0.4,0.2,0.6,0.4,0.6
2021,Albania ,Ledian Memushaj,MF,34,6,5,390,4.3,0,3,3,0,0,0,1,0,0,0.69,0.69,0,0.69
2021,Albania ,Ermir Lenjani,"MF,DF",31,5,5,308,3.4,0,0,0,0,0,0,0,0,0,0,0,0,0
2021,Albania ,Klaus Gjasula,MF,31,5,4,398,4.4,0,0,0,0,0,0,3,0,0,0,0,0,0
2021,Albania ,Sokol Cikalleshi,FW,30,6,4,388,4.3,4,0,4,3,1,1,2,0,0.93,0,0.93,0.7,0.7
2021,Albania ,Thomas Strakosha,GK,25,4,4,360,4,0,0,0,0,0,0,1,0,0,0,0,0,0
2021,Albania ,Myrto Uzuni,FW,25,4,4,360,4,0,1,1,0,0,0,0,0,0,0.25,0.25,0,0.25
2021,Albania ,Taulant Xhaka,MF,29,4,3,246,2.7,0,0,0,0,0,0,2,0,0,0,0,0,0
2021,Albania ,Ylber Ramadani,MF,24,3,3,214,2.4,1,0,1,1,0,0,1,0,0.42,0,0.42,0.42,0.42
2021,Albania ,Armando Sadiku,FW,29,4,3,191,2.1,1,0,1,1,0,0,0,0,0.47,0,0.47,0.47,0.47
2021,Albania ,Odise Roshi,MF,29,7,2,337,3.7,1,4,5,1,0,0,1,0,0.27,1.07,1.34,0.27,1.34
2021,Albania ,Ergys Kaçe,MF,27,3,2,197,2.2,0,0,0,0,0,0,0,0,0,0,0,0,0
2021,Albania ,Mërgim Mavraj,DF,34,2,2,180,2,0,0,0,0,0,0,0,0,0,0,0,0,0
2021,Albania ,Migjen Basha,MF,34,2,2,153,1.7,0,0,0,0,0,0,1,0,0,0,0,0,0
2021,Albania ,Lorenc Trashi,MF,28,3,2,144,1.6,1,0,1,1,0,0,0,0,0.62,0,0.62,0.62,0.62
2021,Albania ,Eros Grezda,MF,25,2,2,103,1.1,0,0,0,0,0,0,0,0,0,0,0,0,0
2021,Albania ,Naser Aliji,DF,27,1,1,90,1,0,0,0,0,0,0,0,0,0,0,0,0,0
