SCA,SCA90,PassLive,PassDead,TO,Sh,Fld,Def,GCA,GCA90,PassLive.1,PassDead.1,TO.1,Sh.1,Fld.1,Def.1,Key
8,0.39,7,0,0,1,0,0,0,0,0,0,0,0,0,0,2017-2018_ashleywilliams
28,1.38,22,2,1,0,2,1,4,0.2,2,0,1,0,0,1,2017-2018_cucomartina
45,2.15,29,0,3,5,7,1,11,0.53,6,0,1,2,2,0,2017-2018_dominiccalvert-lewin
19,1.08,15,1,0,2,1,0,4,0.23,1,0,0,2,1,0,2017-2018_jonjoekenny
16,1.22,12,0,1,1,2,0,0,0,0,0,0,0,0,0,2017-2018_masonholgate
37,2.89,22,1,4,2,8,0,5,0.39,4,0,1,0,0,0,2017-2018_theowalcott
17,1.48,12,1,2,1,1,0,2,0.17,2,0,0,0,0,0,2017-2018_seamuscoleman
26,2.37,22,1,1,1,1,0,0,0,0,0,0,0,0,0,2017-2018_cenktosun
12,1.27,9,0,0,1,2,0,1,0.11,1,0,0,0,0,0,2017-2018_yannickbolasie
36,2.98,23,0,6,3,3,1,9,0.75,3,0,3,1,1,1,2017-2018_oumarniasse
14,1.59,9,0,1,2,2,0,3,0.34,1,0,0,1,1,0,2017-2018_aaronlennon
23,3.59,20,1,1,0,1,0,0,0,0,0,0,0,0,0,2017-2018_nikolavlasic
6,1.94,5,0,0,1,0,0,1,0.32,1,0,0,0,0,0,2017-2018_sandroramirez
4,1.43,4,0,0,0,0,0,0,0,0,0,0,0,0,0,2017-2018_davyklaassen
2,0.88,2,0,0,0,0,0,0,0,0,0,0,0,0,0,2017-2018_jamesmccarthy
4,2.59,3,0,1,0,0,0,1,0.65,1,0,0,0,0,0,2017-2018_kevinmirallas
1,0.67,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2017-2018_eliaquimmangala
3,1.36,2,0,0,0,1,0,0,0,0,0,0,0,0,0,2017-2018_benibaningime
2,1.13,2,0,0,0,0,0,1,0.57,1,0,0,0,0,0,2017-2018_ademolalookman
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2017-2018_ramirofunesmori
2,3.91,2,0,0,0,0,0,0,0,0,0,0,0,0,0,2017-2018_muhamedbesic
49,1.29,34,1,7,3,3,1,6,0.16,6,0,0,0,0,0,2017-2018_harrymaguire
74,2.05,52,0,7,7,8,0,5,0.14,2,0,1,0,2,0,2017-2018_jamievardy
143,4.36,84,29,19,8,3,0,23,0.7,12,5,4,2,0,0,2017-2018_riyadmahrez
4,0.12,3,1,0,0,0,0,0,0,0,0,0,0,0,0,2017-2018_kasperschmeichel
39,1.21,35,0,1,2,1,0,8,0.25,6,0,0,1,1,0,2017-2018_wilfredndidi
14,0.45,11,0,0,2,0,1,0,0,0,0,0,0,0,0,2017-2018_wesmorgan
79,2.8,51,15,9,1,3,0,11,0.39,10,1,0,0,0,0,2017-2018_marcalbrighton
15,0.59,11,3,0,1,0,0,0,0,0,0,0,0,0,0,2017-2018_dannysimpson
40,1.87,21,15,0,3,0,1,4,0.19,3,1,0,0,0,0,2017-2018_christianfuchs
46,2.24,34,4,3,0,5,0,4,0.19,4,0,0,0,0,0,2017-2018_benchilwell
58,3.08,37,8,4,5,4,0,9,0.48,6,0,0,1,2,0,2017-2018_demaraigray
22,1.4,19,0,1,2,0,0,1,0.06,1,0,0,0,0,0,2017-2018_vicenteiborra
35,2.38,25,0,1,3,4,2,5,0.34,4,0,0,1,0,0,2017-2018_shinjiokazaki
10,0.91,7,0,1,2,0,0,1,0.09,1,0,0,0,0,0,2017-2018_mattyjames
18,2.13,14,2,0,0,0,2,1,0.12,1,0,0,0,0,0,2017-2018_adriensilva
32,3.47,22,0,5,3,2,0,5,0.54,4,0,0,0,1,0,2017-2018_kelechiiheanacho
