Touches,TouchesDef Pen,TouchesDef 3rd,TouchesMid 3rd,TouchesAtt 3rd,TouchesAtt Pen,TouchesLive,DribblesAtt,DribbleSucc,DribbleSucc%,DribbleTkld,Carries,TotDist,ProgressivegDist,ProgressiveCarries,ProgressiveFinalThird,CarriesPenArea,Miscontrolled,Dispossed,Recievd ,ProgressiveReceive,Key
320,6,24,111,188,62,320,7,2,28.6,5,157,470,176,7,6,4,23,9,251,61,2017-2018_oliviergiroud
446,10,79,281,88,7,446,4,3,75,1,256,1088,368,3,5,0,3,2,338,28,2017-2018_dannydrinkwater
137,5,7,70,67,13,137,6,5,83.3,1,80,445,212,9,7,2,15,9,112,32,2017-2018_michybatshuayi
209,12,68,75,66,8,209,8,5,62.5,3,118,805,464,13,7,3,4,2,129,23,2017-2018_emersonpalmieri
109,92,106,4,0,0,109,0,0,,0,55,311,151,0,0,0,0,0,56,0,2017-2018_willycaballero
64,1,5,32,28,6,64,6,5,83.3,1,42,267,137,7,1,1,2,3,53,13,2017-2018_rossbarkley
5,0,0,2,3,0,5,0,0,,0,4,7,2,0,0,0,1,0,5,1,2017-2018_jeremieboga
23,1,3,9,11,2,23,1,1,100,0,18,109,52,1,1,0,1,3,22,4,2017-2018_charlymusondajr.
24,0,0,13,11,2,24,5,5,100,0,20,199,114,5,2,1,4,0,23,5,2017-2018_callumhudson-odoi
22,2,9,13,0,0,22,0,0,,0,16,62,33,0,0,0,0,0,19,0,2017-2018_ethanampadu
3570,101,567,2208,811,23,3570,24,18,75,6,2371,10156,5144,67,69,4,35,20,2684,64,2017-2018_granitxhaka
2523,119,578,1082,877,103,2523,46,25,54.3,21,1446,7149,3993,84,62,19,40,31,1651,333,2017-2018_hectorbellerin
1128,984,1123,5,0,0,1128,3,2,66.7,1,514,2918,2025,0,0,0,1,0,437,0,2017-2018_petrcech
2071,71,640,1136,305,32,2071,11,6,54.5,5,1299,6121,3366,41,40,2,8,6,1409,73,2017-2018_nachomonreal
980,8,58,308,620,173,978,45,33,73.3,12,621,2501,906,39,12,27,62,50,756,233,2017-2018_alexandrelacazette
2084,199,990,1015,90,25,2084,2,1,50,1,1206,5728,3319,12,18,0,8,4,1339,9,2017-2018_shkodranmustafi
2061,163,864,1110,96,16,2061,3,2,66.7,1,1253,6119,3571,25,25,0,12,4,1358,10,2017-2018_laurentkoscielny
1726,56,403,766,565,86,1726,22,12,54.5,10,935,4189,2707,68,52,17,22,16,1108,186,2017-2018_seadkolasinac
2101,8,119,913,1088,89,2101,51,36,70.6,15,1526,9537,4808,136,140,17,42,32,1772,267,2017-2018_mesutozil
1358,16,146,604,627,80,1358,52,36,69.2,16,1058,6230,3418,93,80,25,42,31,1131,146,2017-2018_alexiwobi
1480,16,174,770,552,91,1480,36,29,80.6,7,1082,5745,2709,61,54,18,49,37,1214,161,2017-2018_aaronramsey
1145,9,52,351,751,104,1144,60,40,66.7,20,866,5393,1996,50,53,25,64,48,963,218,2017-2018_alexissanchez
548,21,51,205,297,59,548,23,14,60.9,9,378,2180,848,30,20,21,30,25,432,117,2017-2018_dannywelbeck
938,13,112,528,322,23,938,55,45,81.8,10,679,4602,2576,62,40,6,24,25,745,39,2017-2018_jackwilshere
420,10,42,179,206,62,418,14,11,78.6,3,264,1571,836,31,17,12,12,12,314,85,2017-2018_pierre-emerickaubameyang
923,33,149,581,197,12,923,4,3,75,1,677,2857,1430,13,20,1,7,8,736,21,2017-2018_mohamedelneny
759,70,314,377,74,14,759,10,7,70,3,456,2129,1147,11,11,0,9,6,479,20,2017-2018_calumchambers
721,65,317,371,36,4,721,8,5,62.5,3,450,2130,1293,6,13,0,7,6,474,2,2017-2018_robholding
600,6,77,244,286,36,600,25,16,64,9,419,2448,1254,34,29,9,19,20,455,81,2017-2018_henrikhmkhitaryan
