GA,GA90,SoTA,Saves,Save%,W,D,L,CS,CS%,PKatt,PKA,PKsv,Save%.1,Matches,Key
25,1.67,81,56,71.6,4,1,10,2,13.3,3,2,1,33.3,,2017-2018_markbirighitti
10,3.33,18,8,44.4,0,1,2,0,0,0,0,0,,,2017-2018_andriesnoppert
51,1.59,179,128,72.6,7,13,12,8,25,4,2,2,50,,2017-2018_larsunnerstall
3,1.5,12,9,75,0,0,2,0,0,0,0,0,,,2017-2018_delanovancrooy
69,2.03,202,133,66.8,8,6,20,3,8.8,3,2,1,33.3,,2017-2018_hiddejurjus
40,2.15,112,72,64.3,2,5,12,2,10.5,3,0,2,100,,2017-2018_roykortsmit
32,2.29,98,66,67.3,5,1,8,2,14.3,1,0,1,100,,2017-2018_jannikhuth
3,2.11,6,3,50,0,0,1,0,0,0,0,0,,,2017-2018_leonardnienhuis
31,1.72,95,64,69.5,2,7,9,3,16.7,2,2,0,0,,2017-2018_joeldrommel
32,2,82,50,63.4,3,2,11,2,12.5,2,2,0,0,,2017-2018_jornbrondeel
9,0.46,57,48,84.2,17,1,2,12,63.2,0,0,0,,,2017-2018_ikercasillas
8,0.59,36,28,77.8,10,3,0,7,50,0,0,0,,,2017-2018_josesa
1,1.14,4,3,75,1,0,0,0,0,0,0,0,,,2017-2018_vana
,,,,,,,,,,0,0,0,,,2017-2018_fabiano
19,0.66,71,52,73.2,21,5,3,13,44.8,0,0,0,,,2017-2018_brunovarela
2,0.67,11,9,81.8,3,0,0,1,33.3,1,0,0,,,2017-2018_milesvilar
1,0.5,8,7,87.5,1,1,0,1,50,0,0,0,,,2017-2018_juliocesar
24,0.71,107,83,83.2,24,6,4,17,50,6,6,0,0,,2017-2018_ruipatricio
29,0.85,116,87,77.6,24,3,7,14,41.2,5,3,2,40,,2017-2018_matheus
33,1.14,125,92,75.2,12,6,11,9,31,4,2,1,33.3,,2017-2018_cassio
9,1.8,27,18,74.1,3,0,2,1,20,2,2,0,0,,2017-2018_ruivieira
31,1.75,79,48,63.3,6,2,10,4,22.2,3,2,1,33.3,,2017-2018_ricardojorgenovonunes
24,1.5,83,59,72.3,7,6,3,4,25,1,1,0,0,,2017-2018_antoniofilipedecarvalho
0,0,1,1,100,0,0,0,0,,0,0,0,,,2017-2018_emanuelnovo
40,1.51,102,62,66.7,9,6,11,9,34.6,7,6,1,14.3,,2017-2018_charles
9,1.2,29,20,75.9,4,2,2,2,25,2,2,0,0,,2017-2018_amirabedzadeh
44,1.29,152,108,73,13,6,15,11,32.4,5,3,1,25,,2017-2018_vagnerdasilva
29,1.58,77,48,68.8,7,2,9,5,26.3,5,5,0,0,,2017-2018_douglas
27,1.72,67,40,64.2,6,2,8,2,13.3,3,3,0,0,,2017-2018_joaomiguelmacedosilva
52,1.73,133,81,64.7,9,8,13,4,13.3,5,5,0,0,,2017-2018_ricardoabelbarbosaferreira
