Passes_Att,Live,Dead,FK,TB,Sw,Crs,TI,CK,Completed,Offside_pass,Blocked,Key
877,760,108,26,7,6,145,6,73,548,9,41,2017-2018_alexberenguer
1606,1322,279,45,0,7,60,233,1,1251,5,43,2017-2018_bartoszbereszynski
341,336,2,0,2,2,44,1,1,209,3,17,2017-2018_johannberggumundsson
218,215,3,2,0,3,2,1,0,179,0,1,2017-2018_patrickberg
225,185,36,10,1,0,49,1,19,139,4,8,2017-2018_mitchellvanbergen
177,171,6,1,1,0,8,4,1,144,0,3,2017-2018_stevenbergwijn
319,211,107,29,0,0,0,0,0,176,1,0,2017-2018_etritberisha
188,153,33,9,0,4,27,0,20,126,2,2,2017-2018_valonberisha
592,537,52,14,4,11,51,12,26,452,3,17,2017-2018_federicobernardeschi
340,212,127,29,0,2,0,0,0,267,1,0,2017-2018_paulbernardoni
581,384,195,59,0,0,0,0,0,330,2,0,2017-2018_paulbernardoni
681,619,61,7,1,0,12,54,0,628,1,3,2017-2018_juanbernat
313,213,99,13,0,0,0,0,0,223,1,0,2017-2018_dimitrybertaud
1427,1268,158,77,3,17,133,4,77,1158,1,16,2017-2018_jasonberthomier
Att,Live,Dead,FK,TB,Sw,Crs,TI,CK,Cmp,Off,Blocks,2017-2018_player
11,11,0,0,0,0,0,0,0,6,0,1,2017-2018_nicolobertola
191,142,49,5,0,0,12,34,10,151,0,7,2017-2018_ryanbertrand
479,453,24,12,0,2,17,3,8,383,2,11,2017-2018_danielbessa
362,331,29,0,1,5,2,3,0,247,2,5,2017-2018_beto
937,900,36,17,0,5,8,19,0,823,1,6,2017-2018_jordanbeyer
1279,1106,169,28,2,16,87,141,0,939,4,25,2017-2018_giulianbiancone
42,42,0,0,0,0,0,0,0,23,0,2,2017-2018_bartoszbiaek
3,3,0,0,0,0,0,0,0,3,0,0,2017-2018_erminbicakcic
13,13,0,0,0,0,0,0,0,10,0,1,2017-2018_madsbidstrup
933,888,40,39,1,10,2,1,0,806,5,3,2017-2018_pedrobigas
330,316,12,0,0,2,4,0,0,242,2,5,2017-2018_elbilaltoure
490,478,11,10,0,4,1,1,0,417,1,4,2017-2018_jean-claudebillong
338,317,19,18,0,0,1,0,0,271,2,3,2017-2018_luisbinks
2600,2017,575,130,0,34,278,324,121,2080,8,55,2017-2018_cristianobiraghi
449,394,53,19,0,3,14,24,0,322,2,7,2017-2018_davidebiraschi
5,5,0,0,0,0,1,0,0,2,0,0,2017-2018_tombischof
1193,1172,19,17,3,3,2,2,0,1061,2,15,2017-2018_yvesbissouma
10,8,2,0,0,0,0,2,0,9,0,0,2017-2018_nathanbitumazala
1207,770,435,107,0,0,0,0,0,851,2,0,2017-2018_marcobizot
2,2,0,0,0,0,0,0,0,1,0,0,2017-2018_bjarkibjarkason
20,20,0,0,0,0,0,0,0,18,0,0,2017-2018_antonioblanco
1056,974,75,20,3,22,37,12,1,833,7,29,2017-2018_ludovicblas
181,154,26,11,0,3,31,4,11,112,1,5,2017-2018_dannyblum
167,149,18,0,0,0,0,0,1,128,0,5,2017-2018_myronboadu
1135,1095,39,35,2,4,5,2,0,991,1,2,2017-2018_jeromeboateng
Att,Live,Dead,FK,TB,Sw,Crs,TI,CK,Cmp,Off,Blocks,2017-2018_player
335,309,24,16,2,8,5,2,0,256,2,4,2017-2018_kevin-princeboateng
